Ads1,Site1,Ads2,Site2,Slab,eV,Gf,energyML,Std,energyDFT
H,top_metal,CH3,top_other,slab,0.8880272989,0.8237772989000001,0.9759865877645382,0.24902516236461322,0.8237772989000001
O,top_metal,CH3,top_other,slab,2.2732704034,2.4967704034,3.3199448798910214,1.0187972284460256,2.4967704034000002
OH,top_metal,CH3,top_other,slab,-0.0800589058,0.2871910942,0.48422629371896875,0.29493262001024373,0.2871910942
H2O,top_metal,CH3,top_other,slab,-0.2080584709,0.3459415291000001,0.2710514294522888,0.2916816085514063,0.3459415291000001
CO,top_metal,CH3,top_other,slab,3.089851263,3.755351263,3.804325085613039,0.2969610910996025,3.755351263
CH,top_metal,CH3,top_other,slab,5.438501512999999,6.015251513,5.93860677798407,0.2832207562518017,6.015251513
CH2,top_metal,CH3,top_other,slab,3.4483344081,4.1688344081,4.143656102949571,0.27287279761809025,4.1688344081
NO,top_metal,CH3,top_other,slab,3.2218281073000004,3.5318281073000004,3.6409368628190175,0.2969610910995995,3.5318281073000004
NH,top_metal,CH3,top_other,slab,2.1040390126,2.3502890126,1.5090984295022807,0.2833805692989699,2.3502890126
NH2,top_metal,CH3,top_other,slab,-0.30049153160000003,0.15550846839999996,0.15008335918418325,0.2790029609581791,0.15550846839999996
NH3,top_metal,CH3,top_other,slab,-1.1462703106999999,-0.6015203107000001,-0.670285456417048,0.2871959502431296,-0.6015203107000001
H2O,top_metal,H,top_other,slab,-0.0432793174,0.5107206826,0.26786502921987365,0.2981877978764086,0.5107206826
CO,top_metal,H,top_other,slab,3.0579288939,3.7234288939,3.812401437271837,0.3038682448865315,3.7234288939
CH,top_metal,H,top_other,slab,5.4080129123,5.984762912300003,5.879235272747096,0.28922423068818975,5.984762912300003
CH2,top_metal,H,top_other,slab,3.4074382648,4.1279382648,4.0939956411798235,0.27857187181600235,4.1279382648
CH3,top_metal,H,top_other,slab,1.4096416288,2.2458916288,2.3517411904254573,0.20900622576538602,2.2458916288
N,top_metal,H,top_other,slab,4.9833244721,5.2938244721,4.036033611541907,0.30749489154868936,5.2938244721
NH,top_metal,H,top_other,slab,2.1621277241,2.4083777241,1.4117537153662454,0.28969436653157393,2.4083777241
NO,top_metal,H,top_other,slab,3.1971381191000003,3.5071381191000004,3.6325090535832363,0.3038682448865403,3.5071381191000004
NH2,top_metal,H,top_other,slab,-0.369069284,0.08693071599999999,0.09230136276000067,0.28465106902467235,0.08693071599999999
NH3,top_metal,H,top_other,slab,-1.3038266072,-0.7590766072,-0.6751150453700561,0.2934693614422873,-0.7590766072
H2O,top_metal,H,top_other,slab,-0.0432793174,0.5107206826,0.26786502921987365,0.2981877978764086,0.5107206826
H,top_metal,NH2,top_other,slab,0.982762414,0.918512414,1.0199552169931465,0.24451182170523736,0.918512414
O,top_metal,NH2,top_other,slab,1.7828958744999999,2.0063958745000003,3.4010740337556906,0.9801528967063109,2.0063958745000003
OH,top_metal,NH2,top_other,slab,-0.2502894543,0.11696054570000004,0.5560076214204139,0.28600091264106287,0.11696054570000004
H2O,top_metal,NH2,top_other,slab,-0.3508527211,0.20314727890000006,0.27270395540376624,0.2841458112110951,0.20314727890000006
CO,top_metal,NH2,top_other,slab,3.001682666,3.667182666,3.806407156195223,0.28874212615142203,3.6671826660000004
CH,top_metal,NH2,top_other,slab,5.4465220720000005,6.023272072,6.017693451220779,0.2764737097096136,6.023272072
CH2,top_metal,NH2,top_other,slab,3.4537624014,4.1742624014,4.209314470804898,0.26724959518231767,4.1742624014
NO,top_metal,NH2,top_other,slab,3.2220840305,3.5320840305,3.6579928884754245,0.2887421261514313,3.5320840305
NH,top_metal,NH2,top_other,slab,2.0267830018,2.2730330018000005,1.6052943482373436,0.27642647259843944,2.2730330018000005
NH2,top_metal,NH2,top_other,slab,-0.33186912859999995,0.12413087140000005,0.20785323415573842,0.272803503421977,0.12413087140000005
NH3,top_metal,NH2,top_other,slab,-1.4603363534999998,-0.9155863534999998,-0.6817334784042046,0.2800727836928439,-0.9155863534999998
H2O,top_metal,CH,top_metal,slab,-0.0812785355,0.4727214645000001,0.26850229531474357,0.7181223454225198,0.4727214645000001
CO,top_metal,CH,top_metal,slab,3.0246998336,3.6901998336,3.1476274050595956,0.7231425985359384,3.6901998336
CH,top_metal,CH,top_metal,slab,6.4086400309,6.9853900309000005,7.036918991524008,0.7002688849924735,6.9853900309000005
CH2,top_metal,CH,top_metal,slab,4.8546698374,5.5751698374000025,5.221026451351122,0.6947751945087723,5.5751698374000025
NH2,top_metal,CH,top_metal,slab,1.2873658149999998,1.7433658149999998,1.8687412253367945,0.695403968054312,1.7433658149999998
NH3,top_metal,CH,top_metal,slab,-1.3973425157,-0.8525925156999999,-0.7176919493780005,0.705564841200139,-0.8525925156999999
O,top_metal,CH2,top_metal,slab,4.3075268938999995,4.531026893900001,4.959004381407028,0.6897525537817089,4.531026893900001
OH,top_metal,CH2,top_metal,slab,2.1858235737,2.5530735737000003,2.365644636825883,0.6376406803306729,2.5530735737000003
H2O,top_metal,CH2,top_metal,slab,-0.368916054,0.18508394600000005,0.26575887160074174,0.6106126428535367,0.18508394600000005
