Ads1,Site1,Ads2,Site2,Slab,eV,Gf,energyML,Std,energyDFT
H,top_metal,None,top_metal,slab,2.6059615137,2.5417115137,1.7797882846811994,0.2583872428942103,2.5417115137
H2,top_metal,None,top_metal,slab,-0.18362552420000008,-0.2041255242,0.5219518920380875,0.2583872464595152,-0.20412552420000002
O,top_metal,None,top_metal,slab,4.5881128513,4.8116128513000005,4.742565338213139,0.3129862368392616,4.8116128513000005
OH,top_metal,None,top_metal,slab,1.7099206096000001,2.0771706096,1.9657754617643475,0.3014893589509001,2.0771706096
O2,top_metal,None,top_metal,slab,5.3218260002,5.7228260001999995,5.668665077852267,0.31472781622157553,5.7228260002
H2O,top_metal,None,top_metal,slab,-0.404565568,0.14943443200000006,0.2676031514501531,0.30299522855319727,0.14943443200000006
CO,top_metal,None,top_metal,slab,2.9365195357,3.6020195356999998,3.588549601643991,0.3090325628076056,3.6020195357
CH,top_metal,None,top_metal,slab,6.633623718099999,7.2103737181,7.105676051600614,0.2963963837081714,7.2103737181
CH2,top_metal,None,top_metal,slab,4.5032851335,5.223785133500001,5.173505359084974,0.28621660050012815,5.223785133500001
CH3,top_metal,None,top_metal,slab,2.1383279866,2.9745779866000004,3.212265608599015,0.19956513953754926,2.9745779866000004
N2,top_metal,None,top_metal,slab,0.22322501460000002,0.5492250146000001,0.5474848165385294,0.3090325628075855,0.5492250146000001
NO,top_metal,None,top_metal,slab,3.4384359907,3.7484359907,3.7228272386526564,0.3090325628075855,3.7484359907
NH,top_metal,None,top_metal,slab,3.2239276939,3.4701776938999997,3.323802889137813,0.29965530772175225,3.4701776939
NH2,top_metal,None,top_metal,slab,0.9625078685,1.4185078685,1.3227047307953512,0.29244737063551474,1.4185078684999999
NH3,top_metal,None,top_metal,slab,-1.6599982038999999,-1.1152482039000002,-0.929541623497979,0.2999523253618227,-1.1152482039000002
H,bridge,None,top_metal,slab_vac,-0.4099474529,-0.3261974529,-0.125796864437433,0.26615588658532285,-0.3261974529
H2,bridge,None,top_metal,slab_vac,-0.2369940109,-0.3284940109,-0.5219485086402536,0.2661558908985175,-0.3284940109
H2O,bridge,None,top_metal,slab_vac,-0.4779129339,0.0180870661,0.020631016645059397,0.3136106239327064,0.0180870661
C,bridge,None,top_metal,slab_vac,6.473722630399999,6.9477226304,6.829458279835983,0.31002420033981565,6.9477226303999995
CO,bridge,None,top_metal,slab_vac,2.7340494692000004,3.4255494692000013,3.4088269160163183,0.3136125337879081,3.4255494692000013
CH,bridge,None,top_metal,slab_vac,3.86741972,4.48216972,4.578166559103543,0.3024912048114222,4.48216972
CH2,bridge,None,top_metal,slab_vac,2.3120935825,3.0265935825000003,3.4822474080870123,0.22524800202212844,3.0265935825000003
CH3,bridge,None,top_metal,slab_vac,0.6408756056,1.5871256056,1.6386964969960331,0.3066674396800865,1.5871256056
N,bridge,None,top_metal,slab_vac,1.8360070477000001,2.0525070477000003,2.0225292081667945,0.3090531599156102,2.0525070477000003
N2,bridge,None,top_metal,slab_vac,0.1578914049,0.47389140490000004,0.47218867176047497,0.3136125337878996,0.4738914049
NO,bridge,None,top_metal,slab_vac,2.3360174338,2.8240174338,2.8142799741259377,0.31361253378790244,2.8240174338
NH,bridge,None,top_metal,slab_vac,-0.8338546092000001,-1.0636046092000002,-0.5611338644113246,0.22619526482640775,-1.0636046092000002
NH2,bridge,None,top_metal,slab_vac,-1.1745210312,-0.6315210312000001,-0.6655877909998367,0.30513076078202894,-0.6315210312000001
NH3,bridge,None,top_metal,slab_vac,-1.7695744144,-1.0538244144000002,-1.0845807501804074,0.22790981715972336,-1.0538244144000002
H,top_metal,None,bridge,slab_vac,0.8846838346999999,0.9334338347,0.944400263780194,0.25546130006439577,0.9334338347
H2,top_metal,None,bridge,slab_vac,-0.1693077039,-0.1278077039,-0.11504438139751372,0.2554613036191913,-0.1278077039
OH,top_metal,None,bridge,slab_vac,-0.11073376840000004,0.2845162316,0.4255891304019519,0.3030538113032568,0.2845162316
